Company Name,Address,Phone,Mail,Website,Services Text,Services Html,PageUrl
247 PROPERTY AUCTIONS,"PO BOX 260, Exmouth, EX8 9EB, Great Britain",,,,['Auctions Real Property'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											2
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>247 Property Auctions </h6>
								<p>
									PO BOX 260, Exmouth, EX8 9EB, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Auctions Real Property</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/247-property-auctions-2.html
247 PROPERTY AUCTIONS LTD,"47 Hulham Road, Exmouth, EX8 3LB, Great Britain",07488336829,sgray78@hotmail.co.uk,//www.247propertyauctions.co.uk,['Auctions Real Property'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											2
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>247 Property Auctions Ltd</h6>
								<p>
									47 Hulham Road, Exmouth, EX8 3LB, Great Britain <br>
									
										<a href=""mailto:sgray78@hotmail.co.uk"" target=""_top"">sgray78@hotmail.co.uk</a> <br>
									
									07488336829
								</p>
								
									<p>
										<a href=""//www.247propertyauctions.co.uk"" target=""_blank"">www.247propertyauctions.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Auctions Real Property</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/247-property-auctions-ltd-2.html
247 PROPERTY SERVICES LIMITED,"97 Nether Hall Road, Doncaster, South Yorkshire, DN1 2QA, Great Britain",,,,[],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											2
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>247 Property Services Limited</h6>
								<p>
									97 Nether Hall Road, Doncaster, South Yorkshire, DN1 2QA, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						


						<br>

						
					",https://www.propertymark.co.uk/company/247-property-services-limited.html
2LET2U LIMITED,"20-26 Eldon Street, Barnsley, S70 2JB, Great Britain",01226705047,2let2u-2let2u@home.letmc.com,//www.2let2u.com,"['Commercial Sales', 'Commercial Lettings', 'Residential Property Management', 'Residential Lettings', 'Valuation Property', 'Residential Sales', 'Inventory', 'Commercial Property Management', 'Auctions Real Property']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											2
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>2let2u Limited</h6>
								<p>
									20-26 Eldon Street, Barnsley, S70 2JB, Great Britain <br>
									
										<a href=""mailto:2let2u-2let2u@home.letmc.com"" target=""_top"">2let2u-2let2u@home.letmc.com</a> <br>
									
									01226705047
								</p>
								
									<p>
										<a href=""//www.2let2u.com"" target=""_blank"">www.2let2u.com <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Commercial Lettings</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Valuation Property</li>
										
											<li>Residential Sales</li>
										
											<li>Inventory</li>
										
											<li>Commercial Property Management</li>
										
											<li>Auctions Real Property</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/2let2u-limited-2.html
3 POINT PROPERTY MANAGEMENT LIMITED,"2 Front Street, Stowmarket, IP14 5RY, Great Britain",01449768854,info@3pointproperty.co.uk,//www.3pointproperty.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											3
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>3 Point Property Management Limited</h6>
								<p>
									2 Front Street, Stowmarket, IP14 5RY, Great Britain <br>
									
										<a href=""mailto:info@3pointproperty.co.uk"" target=""_top"">info@3pointproperty.co.uk</a> <br>
									
									01449768854
								</p>
								
									<p>
										<a href=""//www.3pointproperty.co.uk"" target=""_blank"">www.3pointproperty.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/3-point-property-management-limited-2.html
BUCHANANS PROPERTY LIMITED,"Midshire House, 7 Smeaton Close, Aylesbury, HP19 8HL, Great Britain",07917643887,francis.buchanan@homexpertsuk.com,https://www.360-Properties.co.uk,"['Residential Property Management', 'Residential Lettings', 'Valuation Property', 'Residential Sales', 'Inventory']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											3
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Buchanans Property Limited</h6>
								<p>
									Midshire House, 7 Smeaton Close, Aylesbury, HP19 8HL, Great Britain <br>
									
										<a href=""mailto:francis.buchanan@homexpertsuk.com"" target=""_top"">francis.buchanan@homexpertsuk.com</a> <br>
									
									07917643887
								</p>
								
									<p>
										<a href=""https://www.360-Properties.co.uk"" target=""_blank"">https://www.360-Properties.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Valuation Property</li>
										
											<li>Residential Sales</li>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/buchanans-property-limited.html
3H PROPERTY CONSULTANTS LIMITED,"26 Clifton Road, MAIDA VALE, W9 1SX, Great Britain",02072868363,gh@threeh.co.uk,https://www.threeh.co.uk,"['Commercial Sales', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											3
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>3H Property Consultants Limited</h6>
								<p>
									26 Clifton Road, MAIDA VALE, W9 1SX, Great Britain <br>
									
										<a href=""mailto:gh@threeh.co.uk"" target=""_top"">gh@threeh.co.uk</a> <br>
									
									02072868363
								</p>
								
									<p>
										<a href=""https://www.threeh.co.uk"" target=""_blank"">https://www.threeh.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/3h-property-consultants-limited-2.html
99HOME LTD,"Sutton Business Park, Restmor Way, Wallington, SM6 7AH, Great Britain",02035000999,khushboo@99home.co.uk,//www.just-sold.co.uk,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											9
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>99Home Ltd</h6>
								<p>
									Sutton Business Park, Restmor Way, Wallington, SM6 7AH, Great Britain <br>
									
										<a href=""mailto:khushboo@99home.co.uk"" target=""_top"">khushboo@99home.co.uk</a> <br>
									
									02035000999
								</p>
								
									<p>
										<a href=""//www.just-sold.co.uk"" target=""_blank"">www.just-sold.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/99home-ltd.html
99HOME LTD,"38 Court Parade, East Lane, Wembley, HA0 3HS, Great Britain",02035000999,sachin@99home.co.uk,//www.99home.co.uk,"['Commercial Sales', 'Residential Property Management', 'Residential Lettings', 'Residential Sales', 'Inventory', 'Auctions Real Property']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											9
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>99Home Ltd</h6>
								<p>
									38 Court Parade, East Lane, Wembley, HA0 3HS, Great Britain <br>
									
										<a href=""mailto:sachin@99home.co.uk"" target=""_top"">sachin@99home.co.uk</a> <br>
									
									02035000999
								</p>
								
									<p>
										<a href=""//www.99home.co.uk"" target=""_blank"">www.99home.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
											<li>Inventory</li>
										
											<li>Auctions Real Property</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/99home-ltd-3.html
@HOME ESTATE AGENTS (BATH) LIMITED,"13 Moorland Road, Bath, Somerset, BA2 3PL, Great Britain",01225463006,toby@ahea.co.uk,https://www.ahea.co.uk,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											@
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>@Home Estate Agents (Bath) Limited</h6>
								<p>
									13 Moorland Road, Bath, Somerset, BA2 3PL, Great Britain <br>
									
										<a href=""mailto:toby@ahea.co.uk"" target=""_top"">toby@ahea.co.uk</a> <br>
									
									01225463006
								</p>
								
									<p>
										<a href=""https://www.ahea.co.uk"" target=""_blank"">https://www.ahea.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/home-estate-agents-bath-limited-2.html
A & F ESTATE AGENTS LIMITED,"18 College Street, Burnham-On-Sea, TA8 1AE, Great Britain",01278782266,scurtis@abbottandfrost.co.uk,//www.abbottandfrost.co.uk,"['Commercial Sales', 'Residential Sales', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A &amp; F Estate Agents Limited</h6>
								<p>
									18 College Street, Burnham-On-Sea, TA8 1AE, Great Britain <br>
									
										<a href=""mailto:scurtis@abbottandfrost.co.uk"" target=""_top"">scurtis@abbottandfrost.co.uk</a> <br>
									
									01278782266
								</p>
								
									<p>
										<a href=""//www.abbottandfrost.co.uk"" target=""_blank"">www.abbottandfrost.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Residential Sales</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-f-estate-agents-limited-2.html
A & F LETTINGS LIMITED,"18 College Street, Burnham-On-Sea, TA8 1AE, Great Britain",01278793369,,//www.aandfproperty.co.uk,"['Residential Property Management', 'Residential Lettings', 'Inventory']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A &amp; F Lettings Limited</h6>
								<p>
									18 College Street, Burnham-On-Sea, TA8 1AE, Great Britain <br>
									
									01278793369
								</p>
								
									<p>
										<a href=""//www.aandfproperty.co.uk"" target=""_blank"">www.aandfproperty.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-f-lettings-limited-2.html
A H LANSLEY RESIDENTIAL LIMITED,"111 Oxford Road, Reading, RG1 7UH, Great Britain",01189391234,info@ahlansley.co.uk,//www.ahlansley.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales', 'Auctions Real Property', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A H Lansley Residential Limited</h6>
								<p>
									111 Oxford Road, Reading, RG1 7UH, Great Britain <br>
									
										<a href=""mailto:info@ahlansley.co.uk"" target=""_top"">info@ahlansley.co.uk</a> <br>
									
									01189391234
								</p>
								
									<p>
										<a href=""//www.ahlansley.co.uk"" target=""_blank"">www.ahlansley.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
											<li>Auctions Real Property</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-h-lansley-residential-limited-2.html
A J INVENTORIES LTD,"13 Rowan Walk, Bromley, BR2 8QW, Great Britain",07938226168,amanda@ajinventories.com,//www.ajinventories.com,['Inventory'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A J Inventories Ltd</h6>
								<p>
									13 Rowan Walk, Bromley, BR2 8QW, Great Britain <br>
									
										<a href=""mailto:amanda@ajinventories.com"" target=""_top"">amanda@ajinventories.com</a> <br>
									
									07938226168
								</p>
								
									<p>
										<a href=""//www.ajinventories.com"" target=""_blank"">www.ajinventories.com <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-j-inventories-ltd-2.html
